condition,rep,signal,peak_median_ratio,peak_period,evalue_null_mean
signal,0,individual_temperature,14.66,7.8,0.9994
signal,0,individual_fish_count,16.00,500.0,0.9999
signal,0,individual_inter_event,14.53,13.6,1.0005
signal,0,individual_turbidity,13.22,2.1,0.9984
signal,0,individual_dissolved_oxygen,14.61,500.0,1.0021
signal,0,composed_evalue,52.17,500.0,0.9967
signal,0,standardized_sum,24.57,500.0,
signal,1,individual_temperature,17.00,2.9,0.9981
signal,1,individual_fish_count,17.15,2.1,1.0001
signal,1,individual_inter_event,10.98,500.0,1.0005
signal,1,individual_turbidity,16.61,500.0,0.9984
signal,1,individual_dissolved_oxygen,17.67,500.0,0.9968
signal,1,composed_evalue,53.95,500.0,0.9967
signal,1,standardized_sum,27.89,500.0,
signal,2,individual_temperature,12.22,5.3,1.0037
signal,2,individual_fish_count,11.14,2.1,0.9990
signal,2,individual_inter_event,11.77,3.2,0.9991
signal,2,individual_turbidity,11.64,56.2,0.9995
signal,2,individual_dissolved_oxygen,14.39,6.2,0.9984
signal,2,composed_evalue,23.36,500.0,0.9996
signal,2,standardized_sum,13.56,40.2,
signal,3,individual_temperature,12.57,2.7,0.9981
signal,3,individual_fish_count,10.72,2.3,0.9951
signal,3,individual_inter_event,14.02,3.2,0.9995
signal,3,individual_turbidity,13.06,500.0,0.9993
signal,3,individual_dissolved_oxygen,12.22,4.7,0.9978
signal,3,composed_evalue,19.64,2.5,0.9898
signal,3,standardized_sum,11.89,7.2,
signal,4,individual_temperature,11.65,2.4,0.9986
signal,4,individual_fish_count,20.00,4.3,0.9964
signal,4,individual_inter_event,12.75,3.4,0.9998
signal,4,individual_turbidity,14.62,11.4,0.9999
signal,4,individual_dissolved_oxygen,12.07,2.9,1.0004
signal,4,composed_evalue,36.55,500.0,0.9924
signal,4,standardized_sum,14.36,500.0,
signal,5,individual_temperature,12.79,3.0,1.0022
signal,5,individual_fish_count,12.42,3.0,1.0023
signal,5,individual_inter_event,10.54,26.0,1.0006
signal,5,individual_turbidity,13.84,500.0,1.0007
signal,5,individual_dissolved_oxygen,22.99,500.0,1.0003
signal,5,composed_evalue,49.24,500.0,1.0055
signal,5,standardized_sum,28.82,500.0,
signal,6,individual_temperature,12.32,2.9,1.0014
signal,6,individual_fish_count,14.64,500.0,0.9980
signal,6,individual_inter_event,12.04,62.1,1.0020
signal,6,individual_turbidity,14.32,2.0,1.0011
signal,6,individual_dissolved_oxygen,10.17,4.0,0.9987
signal,6,composed_evalue,30.73,500.0,1.0030
signal,6,standardized_sum,14.46,500.0,
signal,7,individual_temperature,10.99,2.3,1.0032
signal,7,individual_fish_count,15.75,2.5,1.0000
signal,7,individual_inter_event,26.09,500.0,0.9987
signal,7,individual_turbidity,13.48,5.7,0.9992
signal,7,individual_dissolved_oxygen,13.58,4.4,0.9963
signal,7,composed_evalue,41.66,500.0,0.9994
signal,7,standardized_sum,13.90,2.7,
signal,8,individual_temperature,16.23,8.6,0.9980
signal,8,individual_fish_count,12.64,4.0,0.9951
signal,8,individual_inter_event,14.17,6.9,1.0000
signal,8,individual_turbidity,9.93,14.3,0.9992
