condition,rep,signal,label,kill_log,f_S,f_Z_MK,f_R_curve,f_rho_env,f_E_ratio,f_G_spec,f_Q_spec,f_K_01,f_PE,f_med_first,f_med_last,f_peak_period,f_MAD_dx
null,0,individual_temperature,null,null (no test triggered),-0.000008,-0.664530,1.320101,-0.001774,0.974387,0.001547,22.871560,0.997723,0.998732,-0.075595,-0.025625,4.011231,0.935112
null,0,individual_fish_count,null,null (no test triggered),0.000000,0.013556,1.119492,0.000784,1.004900,0.001990,176.423077,0.998234,0.988595,0.000000,0.000000,2.180074,1.011736
null,0,individual_inter_event,null,null (no test triggered),-0.000012,-1.321381,1.333397,-0.003244,0.947985,0.001677,52.640000,0.998883,0.998896,-0.001062,-0.038248,2.532928,0.988837
null,0,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,1.630515,3.362526,0.000659,1.023772,0.002178,162.535714,0.998979,0.563891,0.000000,0.000000,2.197319,1.000000
null,0,individual_dissolved_oxygen,null,null (no test triggered),-0.000012,-1.001060,1.271282,-0.000980,0.970072,0.001948,41.666667,0.997229,0.998812,-0.056802,0.035784,6.153846,0.965660
null,0,composed,null,null (no test triggered),-0.000009,-0.796772,1.280468,-0.001375,0.976350,0.002150,76.482759,0.997939,0.998919,-0.030041,-0.031991,4.508566,0.956229
null,0,standardized_sum,null,null (no test triggered),0.000009,0.720081,1.276448,-0.001539,0.980770,0.001864,17.290909,0.998655,0.998968,-0.039929,-0.014671,10.515247,0.947294
null,1,individual_temperature,null,null (no test triggered),-0.000006,-0.459957,1.298904,0.000382,0.991541,0.001601,54.459770,0.998552,0.998944,0.005388,-0.020167,2.110595,0.944552
null,1,individual_fish_count,null,null (no test triggered),0.000000,-0.106742,1.571169,-0.001003,0.973811,0.001611,28.632075,0.997595,0.990080,0.000000,0.000000,3.294893,1.011736
null,1,individual_inter_event,null,null (no test triggered),0.000010,1.135862,1.220861,-0.000005,1.003769,0.001638,27.516484,0.998909,0.998943,0.027401,-0.018899,3.993610,0.980427
null,1,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,0.018201,3.364767,-0.000097,0.998259,0.001627,8.271739,0.997767,0.562938,0.000000,0.000000,13.140604,1.000000
null,1,individual_dissolved_oxygen,null,null (no test triggered),0.000006,0.549161,1.291569,-0.000995,0.982972,0.001919,23.372093,0.997061,0.998523,0.039484,0.048776,9.950249,0.971577
null,1,composed,null,null (no test triggered),-0.000003,-0.223153,1.302231,-0.001082,0.983114,0.001909,74.767442,0.997891,0.998470,-0.020542,0.011709,3.110420,0.929584
null,1,standardized_sum,null,null (no test triggered),-0.000009,-0.763119,1.301486,-0.001481,0.985282,0.002093,114.821429,0.998490,0.998782,0.005886,0.037399,3.110420,0.950550
null,2,individual_temperature,null,null (no test triggered),-0.000010,-0.869197,1.255547,-0.000052,0.981969,0.001686,29.786667,0.997879,0.998604,0.021455,0.058950,4.476276,0.971572
null,2,individual_fish_count,null,null (no test triggered),0.000000,-0.675242,1.197815,-0.000324,0.992175,0.001908,84.446809,0.998787,0.989169,0.000000,0.000000,2.519526,1.011736
null,2,individual_inter_event,null,null (no test triggered),0.000009,1.002103,1.348779,-0.000372,0.973160,0.001859,94.132075,0.997528,0.998878,0.028780,0.008858,2.004410,0.977343
null,2,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,1.243647,3.299453,0.000478,1.011755,0.001783,23.934426,0.998341,0.568740,0.000000,0.000000,6.849315,1.000000
null,2,individual_dissolved_oxygen,null,null (no test triggered),-0.000004,-0.331886,1.317709,0.001081,1.002473,0.001591,9.043478,0.998007,0.998903,0.023412,-0.046045,12.019231,0.955787
null,2,composed,null,null (no test triggered),-0.000009,-0.751554,1.347151,0.001153,1.008885,0.002067,112.967742,0.998820,0.999104,0.049081,0.027233,2.855511,0.970544
null,2,standardized_sum,null,null (no test triggered),-0.000007,-0.588123,1.257836,0.001651,1.014194,0.001973,60.685714,0.997506,0.999045,0.038692,0.006422,4.708098,0.962160
null,3,individual_temperature,null,null (no test triggered),-0.000010,-0.843602,1.341823,-0.002214,0.971045,0.001597,53.833333,0.998378,0.998720,0.022609,0.004118,2.063983,0.980560
null,3,individual_fish_count,null,null (no test triggered),0.000000,-1.369917,1.169086,-0.000729,0.983147,0.001786,68.929825,0.998388,0.989205,0.000000,0.000000,2.545177,1.011736
null,3,individual_inter_event,null,null (no test triggered),0.000002,0.268845,1.298765,-0.004179,0.919537,0.001706,32.415094,0.998303,0.998630,-0.036135,0.046981,5.820722,0.963609
null,3,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-0.684342,3.353770,-0.002446,0.960579,0.001867,31.723404,0.997223,0.568290,0.000000,0.000000,6.706908,1.000000
null,3,individual_dissolved_oxygen,null,null (no test triggered),-0.000009,-0.724442,1.278914,0.002128,1.037606,0.001537,28.571429,0.996997,0.998766,0.042712,0.047958,3.846154,0.963139
null,3,composed,null,null (no test triggered),-0.000019,-1.689005,1.360124,-0.000512,1.003354,0.001864,60.384615,0.997918,0.998801,0.015763,0.025714,4.246285,0.948471
null,3,standardized_sum,null,null (no test triggered),-0.000017,-1.495334,1.300966,-0.001421,0.995540,0.001580,24.285714,0.998376,0.998717,0.069445,-0.026666,3.921569,0.962043
null,4,individual_temperature,null,null (no test triggered),-0.000003,-0.234529,1.331933,-0.000967,0.972605,0.002166,204.791667,0.997846,0.999062,-0.003376,-0.012957,2.034588,0.973949
null,4,individual_fish_count,null,null (no test triggered),0.000000,0.441471,1.594475,0.000650,1.023810,0.002022,134.500000,0.996602,0.988281,0.000000,0.000000,2.323420,1.011736
null,4,individual_inter_event,null,null (no test triggered),-0.000010,-1.115102,1.212321,0.003947,1.036636,0.001860,109.977273,0.998220,0.998997,-0.005638,-0.053515,2.066543,0.971227
null,4,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,-0.203814,3.359866,0.002348,1.040903,0.001940,62.473684,0.998196,0.565910,0.000000,0.000000,4.212300,1.000000
null,4,individual_dissolved_oxygen,null,null (no test triggered),0.000003,0.250265,1.317028,-0.000531,0.995947,0.001613,4.392857,0.998504,0.998450,-0.004667,0.011256,27.100271,0.978628
null,4,composed,null,null (no test triggered),-0.000002,-0.215854,1.313900,0.000832,1.014972,0.001953,129.921053,0.997144,0.999037,-0.007022,-0.007886,2.025522,0.951727
null,4,standardized_sum,null,null (no test triggered),0.000007,0.616752,1.258369,0.001080,1.025649,0.001885,53.382979,0.998612,0.998771,-0.018789,-0.007239,3.985652,0.950215
null,5,individual_temperature,null,null (no test triggered),-0.000019,-1.694219,1.320229,-0.001036,1.000649,0.001984,48.531250,0.997271,0.998692,0.014787,0.001530,6.439150,0.943970
null,5,individual_fish_count,null,null (no test triggered),0.000000,-0.125133,1.120986,0.003242,1.045185,0.001617,22.186813,0.996948,0.988375,0.000000,0.000000,4.952947,1.011736
null,5,individual_inter_event,null,null (no test triggered),0.000006,0.621776,1.310249,-0.001466,0.973916,0.001797,35.980392,0.998646,0.998929,-0.042269,0.029732,5.449591,0.969723
null,5,individual_turbidity,aperiodic,aperiodic→K01+PE,0.000000,0.706904,3.378436,0.000000,1.009310,0.002012,8.484848,0.998140,0.561226,0.000000,0.000000,35.714286,1.000000
null,5,individual_dissolved_oxygen,null,null (no test triggered),-0.000025,-2.055302,1.322911,0.000102,0.990899,0.001907,107.913043,0.997626,0.998858,0.019219,0.003716,2.014504,0.929768
null,5,composed,null,null (no test triggered),-0.000014,-1.184872,1.293739,0.001176,1.007660,0.001711,1.890625,0.998125,0.999202,-0.032588,0.051205,82.644628,0.953191
null,5,standardized_sum,null,null (no test triggered),-0.000016,-1.328775,1.316101,0.001434,0.996133,0.001573,44.630952,0.998019,0.998584,0.016075,-0.004615,2.667378,0.940048
null,6,individual_temperature,null,null (no test triggered),0.000028,2.412309,1.305414,0.000079,0.982936,0.001966,76.968750,0.998504,0.998419,0.014428,0.005897,4.060089,0.965699
null,6,individual_fish_count,null,null (no test triggered),0.000000,1.886468,1.110650,0.001293,1.037796,0.001707,23.269841,0.998335,0.989068,0.000000,0.000000,6.821282,1.011736
