category,perturbation,severity,signal,macro_f1,ci_lo,ci_hi,null_fpr,label_entropy,label_counts,detection_rate,paired_delta
amplitude,sweep_divergence,0.0000,composed,0.7333,0.7333,0.7333,0.0000,1.9219,"{""null"": 200, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",0.0000,0.2351
amplitude,sweep_divergence,0.0000,standardized_sum,0.4983,0.4948,0.5000,0.0100,1.3741,"{""null"": 299, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,0.1500,composed,0.7333,0.7333,0.7333,0.0000,1.9219,"{""null"": 200, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",0.0000,0.2351
amplitude,sweep_divergence,0.1500,standardized_sum,0.4983,0.4948,0.5000,0.0100,1.3741,"{""null"": 299, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,0.3000,composed,0.7333,0.7333,0.7333,0.0000,1.9219,"{""null"": 200, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",0.0000,0.2351
amplitude,sweep_divergence,0.3000,standardized_sum,0.4983,0.4948,0.5000,0.0100,1.3741,"{""null"": 299, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,0.4500,composed,0.7333,0.7333,0.7333,0.0000,1.9219,"{""null"": 200, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",0.0000,0.2351
amplitude,sweep_divergence,0.4500,standardized_sum,0.4983,0.4948,0.5000,0.0100,1.3741,"{""null"": 299, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,0.6000,composed,0.7333,0.7333,0.7333,0.0000,1.9219,"{""null"": 200, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",0.0000,0.2351
amplitude,sweep_divergence,0.6000,standardized_sum,0.4983,0.4948,0.5000,0.0100,1.3741,"{""null"": 299, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,0.7500,composed,0.7333,0.7333,0.7333,0.0000,1.9219,"{""null"": 200, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",0.0000,0.2351
amplitude,sweep_divergence,0.7500,standardized_sum,0.4983,0.4948,0.5000,0.0100,1.3741,"{""null"": 299, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,0.9000,composed,0.7317,0.7298,0.7333,0.0000,1.9277,"{""null"": 103, ""divergent"": 0, ""convergent"": 197, ""oscillatory"": 100, ""aperiodic"": 100}",0.0000,0.2335
amplitude,sweep_divergence,0.9000,standardized_sum,0.4983,0.4948,0.5000,0.0100,1.3741,"{""null"": 299, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,1.0500,composed,0.7333,0.7333,0.7333,0.0000,1.9219,"{""null"": 100, ""divergent"": 0, ""convergent"": 200, ""oscillatory"": 100, ""aperiodic"": 100}",0.0000,0.2351
amplitude,sweep_divergence,1.0500,standardized_sum,0.4983,0.4948,0.5000,0.0100,1.3741,"{""null"": 299, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,1.2000,composed,0.7333,0.7333,0.7333,0.0000,1.9219,"{""null"": 100, ""divergent"": 0, ""convergent"": 200, ""oscillatory"": 100, ""aperiodic"": 100}",0.0000,0.2351
amplitude,sweep_divergence,1.2000,standardized_sum,0.4983,0.4948,0.5000,0.0100,1.3741,"{""null"": 299, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,1.3500,composed,0.7505,0.7377,0.7666,0.0000,1.9785,"{""null"": 100, ""divergent"": 4, ""convergent"": 196, ""oscillatory"": 100, ""aperiodic"": 100}",0.0400,0.2523
amplitude,sweep_divergence,1.3500,standardized_sum,0.4983,0.4948,0.5000,0.0100,1.3741,"{""null"": 299, ""divergent"": 0, ""convergent"": 100, ""oscillatory"": 101, ""aperiodic"": 0}",,
amplitude,sweep_divergence,1.5000,composed,1.0000,1.0000,1.0000,0.0000,2.3219,"{""null"": 100, ""divergent"": 100, ""convergent"": 100, ""oscillatory"": 100, ""aperiodic"": 100}",1.0000,0.5244
amplitude,sweep_divergence,1.5000,standardized_sum,0.4756,0.4702,0.4807,0.0100,1.4737,"{""null"": 258, ""divergent"": 0, ""convergent"": 141, ""oscillatory"": 101, ""aperiodic"": 0}",,
